LABEL,sentences
0,<s> note way stop put div </s>
0,<s> cant seem shake blue away </s>
0,<s> hat hat hat thursday </s>
1,<s> joelyah send email time etc </s>
0,<s> spencermckinney would figure birthday month half wo even celebrate </s>
1,<s> urban8 depend kind video make could funny know song </s>
1,<s> ted9k doingwork wish guy wichita christmas night enact </s>
0,<s> summit star trek japan 29th continue blue </s>
1,<s> cat settle lap decide go work today go </s>
1,<s> look back guy serve ca even bother face women shallow </s>
1,<s> tessmorris oh faith quot see tell yoooouuuuu quot lull sssssseeeeeeee </s>
0,<s> raw miss beste cant appreciate summer yet get back ga be ya </s>
0,<s> look gun hide departure picture want keep </s>
0,<s> ali answer text think asleep awfully late call tomorrow </s>
1,<s> hey katie learn count list 4 name say wow such idiot school tan boston tomorrow lt 3 </s>
1,<s> bytes welcome </s>
1,<s> bobbyllew lisa rogers cartoon alltime have good work </s>
1,<s> anarbormike love </s>
1,<s> school week im happyyyyyyyyyyyyyy </s>
1,<s> follow peterfacinelli lt 3 need see kick 211me see 211me sing single ladies bikini go peter love </s>
0,<s> summer close three days 5 midterm </s>
1,<s> good morning mother back hurt today couldnt sleep </s>
0,<s> blamedrewscancer fall glorious sunny day year amp cool office day </s>
1,<s> countdown weekend </s>
0,<s> fragrant think one best heroes petty kill good character use thing lol </s>
1,<s> boyfriend life good </s>
0,<s> vacation almost </s>
1,<s> always fun go dentist lip num </s>
1,<s> jasonholder true rich mean everyone around world </s>
1,<s> tomfelton hey tom go watch hop release love singapore </s>
1,<s> petewentz whats horoscope sagittarius piece </s>
1,<s> voodoo ad lounge maclean mccain amp tomorrow cbc metro morning listen us talk artunexpected </s>
0,<s> heat coma sleep 19 hours saturday worst start today </s>
1,<s> morning beautiful already glorious sunshine wash vacuum car do fill petrol do bb stuff buy do </s>
1,<s> main hello follow haha </s>
1,<s> gonna take sulfate quiz facebook amp result belong someone rhythm </s>
1,<s> yesterday go great party awesome amaze congratulations tagline </s>
1,<s> chiller junior people festival interest www </s>
1,<s> think new things lt 3 </s>
1,<s> mission trip one west side florence get cancel go birmingham cant wait see live change </s>
1,<s> see everything ever need boy front much better </s>
1,<s> run today mccormicks woods get ta say nice place go run </s>
0,<s> take last final school late september store kinda sub </s>
0,<s> say heart always feel like rock http </s>
0,<s> lisaclfc http sorry </s>
1,<s> msdivamom quot memory quot quot tragedy quot </s>
0,<s> diner thumb french toast </s>
0,<s> msmandz aw sorry hear </s>
1,<s> moscow sound awesome </s>
1,<s> watkins laugh hard get call </s>
0,<s> soooooo want come home </s>
0,<s> o2 mms still receive message get mms instead picture ca send either </s>
1,<s> train ataxia daytrip bite sore bike swim walk yesterday havoc amaze worth hassle </s>
0,<s> barley hardest movie ever tear </s>
0,<s> seekingplumb ca remember last time get crawl bed awake enough read anything sad </s>
0,<s> xstaticstacey yes gross go delete individual entry wrong week </s>
1,<s> ellljayy nice garden barely see screen lol lovely day get do hair </s>
0,<s> realize outside since 8am mix last some </s>
1,<s> 4hr class mondayyyyyyy yay weekend </s>
0,<s> http eat little guy beg take home say </s>
0,<s> head must get bigger optimum prime helmet fit like use time adjust strap </s>
0,<s> cobra hey kick im tire today need bed </s>
1,<s> haha gon na like super emo hardcore acoustic piano acoustic guitar electric guitar </s>
0,<s> uuuggghhh body hurt especially arm </s>
0,<s> freeze hav scarf jeans 3 top jumper boot </s>
0,<s> rbu many errors play gr software update </s>
1,<s> watch f1 cup tea instead revision </s>
0,<s> sorry really tweet today kind day get busy day tomorrow probably </s>
0,<s> ajroxmywhitesox oh god sorry </s>
0,<s> christieressel serious go since little girl parent sell place though </s>
0,<s> work blow right state mind </s>
0,<s> lesleypomeroy dang think would maid honor </s>
1,<s> 9 days line vines try time also 9 days history exam amp math exam fuckkkkkkk </s>
1,<s> update lang po good eve http </s>
0,<s> chuckatwork get invite miami leave </s>
0,<s> dns entries remove </s>
0,<s> happy know go fail exam </s>
0,<s> look forward thursday </s>
0,<s> kirankhanzada hate days </s>
1,<s> need know wear tomorrow </s>
0,<s> hate amp week half yearly ah poo </s>
1,<s> watch song marry avoid haha man hilarious </s>
1,<s> lollipopins forget noundiessunday </s>
1,<s> greggrunberg please plaza love egg give birth 3 time 4 years </s>
1,<s> go mac never go back via palatal </s>
0,<s> well im della tire im go watch race think need2 hit gym crash den work tomorrow morning </s>
1,<s> rain dc area ladyminista </s>
1,<s> tj0830 site site chat 2more lol 5888 </s>
1,<s> home lady today eat breakfast watch mickey mouse </s>
0,<s> elainerogers shame beautiful place </s>
0,<s> thisreal4ever get ta make best go </s>
0,<s> xoxohelenhilton personal anyway probably miss lol dvd cd come today oxo </s>
1,<s> cocabeenslinky orissa545 midwife run4kelly thank much rt support mean alot </s>
1,<s> get new glass http </s>
0,<s> dotsauce try get tribute site build tributes grow popularity sack developers though </s>
1,<s> rest much shop eat add another pair shoe bag fab collection result </s>
1,<s> laughscreamsing yes bite better </s>
1,<s> voice1061 need get act together lol </s>
0,<s> sick need stay bed hate weekend </s>
0,<s> bad thank hate sunday signal end weekend coy0te </s>
1,<s> note wish good night </s>
1,<s> macguffen go sleep </s>
1,<s> sunny outside stay assignments study boo friday </s>
0,<s> littlehallie fuck mad reason want talk bad make sure wouldnt disappoint </s>
1,<s> viewfrommyseats ooohhh gotha </s>
1,<s> hang mnr wait show good time </s>
0,<s> gon na watch david cook quot cookie quot tonight already hear sad </s>
0,<s> 17 weeks yesterday still doesnt get easier </s>
1,<s> find sew machine like moms find </s>
1,<s> tooth fun </s>
1,<s> load piano work statement </s>
0,<s> think everyone need hug kid little bite tighter </s>
1,<s> ashleymarieduh thank love </s>
0,<s> impose read comics see tv </s>
1,<s> another rainy sunday watch twilight </s>
1,<s> good morning twin </s>
0,<s> already realise forget one thing </s>
0,<s> dannygokey oh josh sorry hopefully find lt 3 </s>
0,<s> scottwesterfeld probably already use quot hand quot quot understand quot like imaginative moon need songwriters </s>
0,<s> beverleycuddy weakness chocolate crisis follow weightwatchers need get back visitor go </s>
0,<s> feet hurt bad wear heel go see anne frank diary wear heel years holy shit exhaust </s>
1,<s> snap oh man know anything good come place </s>
0,<s> sophiakills childrens hospital orientation thing know right really want volunteer </s>
0,<s> look like rain boo </s>
0,<s> yeah understand hug away asshole brother though </s>
1,<s> arjbarker things interest wow u toast </s>
1,<s> movies bout see night museum jb amaze new song fly </s>
1,<s> jonathanrknight good night sweet dream may rest well </s>
0,<s> damn feet hurt never happen poor channel </s>
1,<s> cheekithasinger heavy glad see ok </s>
0,<s> want apc40 voodoo badly </s>
1,<s> get home night bdb bf bluesurrfer happy page everything wavy love </s>
0,<s> heyyitskate ca go lunch go hunt </s>
0,<s> sarahanngreen still milk </s>
1,<s> selenagomez plain white concert fun </s>
1,<s> iamthecommodore get go wing </s>
0,<s> sad everything kate say feel </s>
1,<s> meetniroim watch sing ur arm wave skills spectacular </s>
0,<s> aah min net it mother n hav go n sleep </s>
0,<s> kelvineyers yup everyone need come still cold morning </s>
1,<s> lol login life like bb </s>
1,<s> plabyorteaux everyone matter already ml mg book ignore jerk http fan supportive </s>
1,<s> iamsneezy slowly cross get mac never go back </s>
1,<s> 15 minutes early mens roof fellowship </s>
1,<s> hang uptown head more soon din 98rockunit xx </s>
1,<s> back elon enjoy summer </s>
1,<s> 4 next 5 days mess </s>
1,<s> well fuck make night than </s>
0,<s> oh man dis sup cant go beb guess fault </s>
0,<s> im try make chicken soup like mother without recipe interest cant find match </s>
1,<s> new day time get start </s>
1,<s> haha never </s>
1,<s> static junior awesome great job 88 team happy junior </s>
0,<s> beer pong game work </s>
0,<s> mandolin2 change number lem know family still scar love </s>
1,<s> good late morning </s>
0,<s> hypedagreat oh quot work play til later lol </s>
0,<s> curtcosmic www good think feel like atm bad though thankyou </s>
0,<s> dumb ass twitter fon isnt let refresh page exceed limit </s>
0,<s> let one call baby time still want birthday gift </s>
0,<s> tire </s>
0,<s> sadness give way anger give way depression like sadness supercharge </s>
1,<s> stop rain afternoon weather normal bring champorado </s>
0,<s> none plus taste like shit </s>
1,<s> oops w e r </s>
0,<s> shewasyar know bad bitch cordelia show </s>
0,<s> want cake cake cake cake tin beret cake depress </s>
1,<s> aimeenbarnes best keep eye check harmonisation well </s>
0,<s> paganmama live wonderland family call hippie clothdiapers </s>
0,<s> plus dont think get dad present want get </s>
1,<s> think go buy ingredients make monitor weekend time mint leave club soda already rum </s>
1,<s> happy birthday live loooove </s>
1,<s> lovely day portland husband yay feet still hurt though lt </s>
1,<s> today mental health day school exhaust work irritate life overwhelm gon na go home </s>
0,<s> oh vat return due zero maintenance suppose back online 10mins ago joy </s>
0,<s> yagirldwoods hey woods u ever felt like im nova gon na b able live dream cup feel like wan na b model bad </s>
1,<s> ok smash weekend plan </s>
0,<s> doom </s>
1,<s> jayskillz hit shadcharleston live </s>
1,<s> nice daw yung picture ko hehehe </s>
1,<s> awesome race motogp yet stone fight hard </s>
0,<s> signingmom spring alberta either windy rain today </s>
1,<s> hilprado hope movie word </s>
0,<s> climb do manage 6a false start exhaust still ill </s>
1,<s> week good idea mm awesome life set know im leave school oxford st better welcome </s>
0,<s> pet snake anymore stupid boys </s>
0,<s> chemistry class </s>
1,<s> revise sun like summer </s>
1,<s> hey lady bitch haha wed singer </s>
1,<s> listen bo durham funny guy </s>
1,<s> oh cartoon lane fail go slower us lanes 2 3 http </s>
1,<s> head southbound milton eye uch blueprint tonight </s>
1,<s> davidlimonline bliss n ess murphy n plutonium passion pit phase draft hip hop mood </s>
0,<s> bout 2 shower get ready work songzyuuup musicmondays keep update twitter fam ok </s>
1,<s> bore annoy friends </s>
0,<s> goodnight tweeperzz haha time study </s>
1,<s> easy design cool sexy background image twitter homepage want display hot new sex cushion </s>
1,<s> yea stay baby one favorites </s>
0,<s> stepheezy get catch red </s>
0,<s> kporcalla hey hear u move </s>
1,<s> wood get bak millecent today three medals trophy oh yeah </s>
1,<s> goodnighttt tweetersss </s>
0,<s> fs conchango template quot ready test quot quot defer quot status product backlog item </s>
0,<s> seed part </s>
1,<s> break silence </s>
1,<s> dirkjohnson thank much give old buddy hard time say miss see fireflies </s>
1,<s> book ticket go ny nj 3 weeks shore house hampton bf fh literally get better </s>
0,<s> renukarajadurai hey babe ca make long term plan see air force thing sure turn jet </s>
1,<s> jessikasay contrast followers </s>
0,<s> bonedaddyking article helpful already practice except drink alcohol </s>
1,<s> later game hr amp half </s>
1,<s> coward love courtney okay im you </s>
0,<s> get ta clean room </s>
0,<s> quick hi everyone twitter much today miss x xx xxx </s>
1,<s> good time picnic happy get see sofia angela totally rock reggae grill love reggae boat </s>
1,<s> holy crap new house della nice </s>
1,<s> whats twitter try catch nap gym haha work lol mma take advantage wifi connection </s>
0,<s> jam123 head guess nothing much </s>
0,<s> rest today sick leave might hav get ct scan do wat summer </s>
0,<s> good morning get ready day back school </s>
1,<s> georgiielu www thank mean lot hear </s>
1,<s> im make fuck twitter profile </s>
1,<s> jasoncecrle twitter 360 oh well another way sell keyboards controllers guess </s>
1,<s> haha yes follow tweet watch bbc 2 </s>
0,<s> wait specialist run late </s>
1,<s> would love see come toronto pride sometime know put party xo </s>
0,<s> way airport new york </s>
1,<s> soulpoetrysite mmm seem besides love emotion base deeper </s>
0,<s> want watch true blood trueblood </s>
0,<s> love haha im bad twitter </s>
1,<s> dot12b watch casualty </s>
0,<s> mizrik omg exactly gray u make sad </s>
1,<s> go walk around greenish park fee squirrels get air fetch topless boys </s>
1,<s> kristenstewart9 http totally love dress taylor cute </s>
1,<s> novaleedmb minneapolis mn fourth time see kol great band </s>
1,<s> sleep 2am </s>
1,<s> ok catch later amp roof roof fritz </s>
1,<s> eat oh boy </s>
1,<s> go home </s>
1,<s> goodness500 river indo sure look nasty recommend swim bass lake ca pin </s>
1,<s> head gym sleep well sunny outside worry without doubt best time day </s>
0,<s> atlantisjackson right one show joe flanagan think tune cup tea </s>
1,<s> good morning twitter trouble tree man http </s>
0,<s> branch opera cafe really busy would nice sit outside rain </s>
0,<s> dawnrigby oh poor thing could think much worse u still lessons outside pc anymore </s>
1,<s> currently shop kris allen totally normal </s>
1,<s> kathyireland right kathy never late dream love </s>
0,<s> asshole than katie </s>
0,<s> godlessgirl add account </s>
0,<s> poll hell yeah cool would man doug still wont reply lol </s>
0,<s> exhaustive day yet nothing achieve </s>
1,<s> get ready shut busy day sons great moms day hope everybody day go well twin tomorrow </s>
1,<s> michael excellent thank </s>
1,<s> twistedtamsyn yes church enlighten heal </s>
0,<s> tomsmithmcse quicker f ck3d exchange factory reset get users call tomorrow </s>
1,<s> briaaaa ha either ilysoulm8 </s>
0,<s> simone bad little overheat problem previous laptop fry graphic card sad day </s>
0,<s> make wish somewhere get sleep hope antibiotics work fast </s>
0,<s> tarswebb have im mental case </s>
1,<s> kreeshaturner hi kreesha cold though ottawa anyways edmonton hot </s>
1,<s> mandyblake x night saw post start laugh funny </s>
1,<s> right think next </s>
1,<s> devonmarie78 poor guy still learn </s>
0,<s> correction wish ticket taylor swift show 5 days </s>
1,<s> moiswashere love infinity good song </s>
1,<s> fantastic whats good lady </s>
1,<s> want sun come back oh northwest </s>
1,<s> get early spend time jesus yay finish make perfect schedule lol </s>
0,<s> want home anything </s>
1,<s> vadimphoto bad nice couple small wed beautiful location tire twist ship beer </s>
0,<s> omg project natal hit see publishers gon na use stun try find box ps3 </s>
1,<s> speed get </s>
1,<s> love thunderstorms </s>
1,<s> lastoadri mo2men new stickers </s>
0,<s> dig everything character limit feel censor like edit college paper page maximum </s>
1,<s> excite lazy friday night </s>
0,<s> way kc see grand mother day lot study </s>
1,<s> mango cheesecake summ </s>
0,<s> kenziegrl3 hey girl know see tweet cause profile lock </s>
0,<s> go home get ta fuck internet tho </s>
1,<s> contrast mora lee simmons demon hounsou baby boy bear may 30 watch space name </s>
0,<s> ca take test yet cause teacher oh bio department crazy bidders </s>
0,<s> vh1hoops lol oops show come think that talkin lol about old sorry love </s>
1,<s> finish avalon high amaze book </s>
0,<s> doctor work hope pitch fun condition show without </s>
0,<s> gt home base sub gh cookies </s>
1,<s> timheidecker microsoft pay tweet fan search technology </s>
1,<s> thank ck glad connect </s>
0,<s> really dont want weekend end </s>
0,<s> theres shop everywhere </s>
0,<s> cell days friend steal sad new bag jur channel bag om quot quot steal </s>
0,<s> finally watch jon kate premiere break heart </s>
1,<s> homemade mango pineapple amp black bean gua blue moon sunny day park </s>
1,<s> wake hang friends 2day </s>
1,<s> breathe spaceeeeee listen shout like </s>
0,<s> digiscrap09 97 gh right hot humid today thunderstorms </s>
0,<s> rwiggumrules could skip part darn messy ick </s>
1,<s> umasswmr hope good mood hold next week </s>
0,<s> come pen kill </s>
0,<s> wethetravis aw travis get food man </s>
0,<s> could spend kinds money tonight instead make want diesel clothe however </s>
1,<s> britlove yep amazon </s>
1,<s> tweet pic certificate give make day please say please </s>
0,<s> yaneri test ai respond </s>
1,<s> hole1337 love better come dinner tonight cup way much food </s>
1,<s> shirt467 www ty make night </s>
1,<s> beautiful day car baby shower today </s>
0,<s> richardfrank hope feel better soon </s>
1,<s> hopefully kenya good </s>
1,<s> play 4 songs set short pretty good </s>
0,<s> madirigh damn suck early tomorrow move stuff apartment boo </s>
1,<s> ddublover yes sure </s>
0,<s> bbc say lot twitterers block much quieter today iranelection </s>
0,<s> bytes2112 citygirl912 see sox wish baseball boys could figure win </s>
1,<s> omg task look like freak feather boa ca phone send picture go bed soon </s>
1,<s> mom ask time get home last night give mother day gift forget talk </s>
1,<s> rubin cube religion </s>
1,<s> misspentlife ham amp egg british right </s>
1,<s> morning http </s>
0,<s> go swim friends house pool fill water green cause rain drain btw fun </s>
0,<s> vivalaaden usually feel get closer kind sad </s>
1,<s> dirksonguer quot german quot ist solar noch lesser </s>
0,<s> sit home bore da sun shin bt im sun person </s>
1,<s> cyclingamericas good luck </s>
1,<s> accordingtothem kingdom come cd lol </s>
1,<s> absolutely love song always </s>
0,<s> want malice beta ca get </s>
0,<s> leesasaur want nuggets sweet sour sauce </s>
1,<s> 30 day shred look pretty tough helpful think start tomorrow </s>
1,<s> pslovenpink sound like plan </s>
1,<s> foreverivy www well winter start till july think yeah really cold hot </s>
1,<s> sylviegreen69 thank say hello nice meet sorry burst bubble actually plague thing </s>
0,<s> ca make mind wear </s>
1,<s> stick beni </s>
0,<s> leave jess never gon na leave him sec sorry il </s>
1,<s> jesseshunting thank follow look forward update </s>
1,<s> lot walk up sell 1 item buck hope pick want golf later need money </s>
0,<s> weekend xd bet rain mean watch dvds </s>
1,<s> hope niece come today </s>
1,<s> celebrate amaze mother today </s>
0,<s> receive last disc wire netflix today want end </s>
1,<s> lovato fat skinny absolutely perfect really love many kiss spain lt 333 </s>
1,<s> 1st nights http </s>
0,<s> nothing bore xx </s>
1,<s> look smart network find something free texting free mobile browse http </s>
1,<s> rampage today </s>
1,<s> would like welcome janet gray bubblegate first day business development executive yet sign twitter </s>
0,<s> http questlove u would get pic </s>
0,<s> dapacheco hard </s>
1,<s> jordanknight need sing truck amp fish summer tour </s>
0,<s> wake last day sleep </s>
1,<s> today nice </s>
1,<s> berthofstede </s>
0,<s> enough quiz back study </s>
1,<s> certainly thrill neighborhood welcome anytime </s>
1,<s> lose founder match ah well great game either way well play girls still obsessive listen fly love </s>
0,<s> rcpmelissa kid love talk weather try subscribe blog ca figure </s>
1,<s> songzyuuup always twist mean no bout big ego no one invent sex lol no go ham lol </s>
1,<s> swmchic haha almost forget know friction awesome may first book ever </s>
1,<s> start new job today sonic cool </s>
1,<s> thank ff double </s>
1,<s> emilyybrowningg ur awesome love u believe u r real never fake </s>
1,<s> happy fabric friday 3 flat rate ship great japanese fabrics http </s>
1,<s> thank steffenjason brucewez say ross rogers great mtb ride 2 neo great company great alliance great ride </s>
1,<s> know lore 1938media years put good word </s>
1,<s> watch lottery draw tonight 28 million nice sum indeed </s>
1,<s> mom buy 4 bath suit today </s>
1,<s> think meet phone really cool </s>
1,<s> great rd tonight love love love </s>
1,<s> oh mah josh between think first thank bobgrrl </s>
1,<s> howliet </s>
1,<s> princessarchie remember put phone silent lol night love </s>
1,<s> ramadimas thank darling http </s>
0,<s> burn </s>
1,<s> selmgomez da bomb haha bff call quot say quot number plz call back </s>
1,<s> norcalwine may time get bottle empty bite glass </s>
0,<s> tragedy utter tragedy arm teddy 1 arm teddy respectful mourn mozilla latest victim never clap </s>
1,<s> rafatux por supuesto spread word </s>
1,<s> last exam tomorrow bring party aberdeen </s>
1,<s> renatebeate yes think assume hope taste well </s>
0,<s> face hurt look like attack </s>
0,<s> cry whilst watch hollyoaks need life lol </s>
0,<s> someone somewhere like slide http </s>
0,<s> half2329 4 stone wot u want b skin n bone gun ur perfect way u r xxx </s>
0,<s> caffeine fix headache </s>
1,<s> bec09 call political website quot stress test quot </s>
0,<s> stick traffic time m42 error </s>
0,<s> alexorman1 im self conscious </s>
0,<s> sunday mean tomorrow school </s>
1,<s> ester1992 love show bravo addiction </s>
0,<s> battery shit die car today stick gas station super hungry </s>
1,<s> say yep agree http </s>
1,<s> whiterabbit00 great even think start gym tomorrow u know guy little dummy </s>
0,<s> work wan na </s>
0,<s> subset never brothers enemies port charles sorry </s>
1,<s> bingfutch keep music go twitter stream would empty everybody tonight </s>
1,<s> moonsoar thank court </s>
1,<s> twitter myspace facebook unblock school love </s>
1,<s> whats go </s>
0,<s> lose dark hear laugh </s>
1,<s> watch bride war </s>
0,<s> miss jt snl hate </s>
0,<s> suzemuse um backwards wrong </s>
1,<s> wake nap </s>
1,<s> love host weather amp little tan back salon feel ready summer amp holiday </s>
1,<s> get ready go collect first new glass nearly decade </s>
1,<s> sleeper chart23 get excite go party </s>
1,<s> apple worldwide developers conference 2009 kick keynote address tomorrow see new iphone </s>
0,<s> want new bed reprint room get proper bookshelf etc </s>
1,<s> go bed goodnight </s>
1,<s> lie great </s>
1,<s> go friend soon shop </s>
0,<s> proud everyone retreat typo change </s>
0,<s> mileycyrus tell vote cause germany btw love music </s>
0,<s> bare suck bare www tomorrow without dom </s>
0,<s> tnaaddicted damn </s>
1,<s> make rice pasta feed animals time watch news see happen around world farm </s>
1,<s> dublin98dave try place order next week even </s>
0,<s> pitchforkred sorry hear bb </s>
1,<s> best mouth south </s>
1,<s> lesleychang lol such back year tho test outside vancouver see survive hopefully </s>
1,<s> pretty day sit cemetery eat lunch </s>
1,<s> bmaynorx3 love drive school darwin home thus </s>
0,<s> jonathanrknight sad right go work could last word hope chance see </s>
1,<s> pineapple cool whip beaver texas </s>
0,<s> ashjolliffe thank lok later stupid laptop wont let </s>
1,<s> play super mario brothers cheer </s>
1,<s> xclusivebby lol hey shmoopie </s>
0,<s> epic yesterday unfortunately mandatory headache kick vengeance today </s>
1,<s> g baby make day get work thank god little people </s>
0,<s> michael11 know since start job look circumcise premise amp look scar disfigure poor hobby </s>
1,<s> martial17artist yeah scream quot incest quot lol </s>
1,<s> team level difference change </s>
1,<s> glennabean lmfaooo would much fun tell move someone doubt </s>
1,<s> seriously love im myspace love </s>
1,<s> lannydoodle good morning good morning late say goodnight lol sing rain singsongy mood </s>
1,<s> way pepper galleries love new job </s>
0,<s> nevershoutaziah computer </s>
1,<s> restaurant twiquarius talk tonight </s>
1,<s> ohsuperheroine glad </s>
0,<s> watch mass fully book shoulder rub today </s>
0,<s> chuck seed hello couch </s>
0,<s> blaze lmaz yet wish </s>
0,<s> bore abbey play peek boo amp want play reject 1 year old </s>
0,<s> want work today </s>
0,<s> anothersaturday http pics mostly mine lol steamer </s>
0,<s> twitter still hasn let upload pictureeee </s>
0,<s> dougiemcfly dooougiecplease tell im cry lov ya much </s>
0,<s> theellenshow favorite nail polish </s>
1,<s> aspaphoto thank g yes sun shin have spot london lunch life goodlier </s>
1,<s> jonathanrknight nothing love jon keep smile </s>
1,<s> go florida like 9 days psyche pack right </s>
0,<s> work gh good week far </s>
1,<s> watch surf ok childish keep creative </s>
0,<s> missxsonya excedrin migraine next time trust get time feel pain </s>
1,<s> originalgata good btw get interview question hope help spread word accomplishments </s>
0,<s> trip nyc jak see beach trip land stay tune schedule update </s>
0,<s> hekissedmyhand work dddddd dayyyyy </s>
1,<s> leeboardman cheer entertainment </s>
1,<s> mariefayandre thank </s>
0,<s> mileycyrus god blizzard </s>
1,<s> debut yes saw funny cartoon man naked beach amp imagine women dress hahhaha </s>
1,<s> mcrmuffin ah st throw something </s>
1,<s> contactnaveen welcome </s>
0,<s> teammate summit want </s>
1,<s> still blog chat littleradge hours later lol insane amount fun fan plan stuff </s>
0,<s> demons2009 yup eee </s>
0,<s> bite tire today still revision </s>
1,<s> blizzardskies work little kid day </s>
0,<s> somebody save work want go someone kidnap </s>
1,<s> mariahcarey when ur next album come </s>
0,<s> head work hate mornings </s>
0,<s> wed last day school tomorrow finals finals finals day ugg specially someone feel good </s>
0,<s> missladyswd girl saw twin work game sorry lose </s>
1,<s> bumblebeebree say thank </s>
0,<s> conquerofawesom hope back feel better weekend fun party bad back </s>
1,<s> notoriousflirt thank honey </s>
1,<s> theadamlambert u inspire thank u oxo </s>
1,<s> prom fun </s>
0,<s> itsnikki manchester amaze true hear letmypridebe josh texas probably till sxsw next year </s>
1,<s> put picture wall </s>
0,<s> morning tweet todays exams chemical indonesian shit chemical wish luck </s>
1,<s> zefamedia love could make one interest even </s>
0,<s> im still im pj stomach feel good right jump shower wake though lol </s>
1,<s> carmabella yes ca wait till marathon </s>
0,<s> ah feel bad one friends </s>
1,<s> morning min100 para4eva medical1978 hol234 let put tweetschoolonline stuff together week </s>
0,<s> webcam go away b look like wait </s>
1,<s> get chance see son run district competition today normally around excite </s>
0,<s> therealceaza7 </s>
0,<s> thomasfiss note forget u take pic ur new hair </s>
0,<s> lancesmithshow aw poor raccoon </s>
1,<s> omg 9 days worth podcast hear yet ought get hour road trip quite nicely </s>
0,<s> time last week danny get ready go </s>
1,<s> love weather jesse </s>
0,<s> great weekend friends go hard go back routine things </s>
1,<s> carinafox5 haha pick idolscott ticket master yup buy month ago never go get </s>
1,<s> think give tweet update update record say </s>
1,<s> get ready last monday school ever </s>
0,<s> sick work still </s>
1,<s> tamapalace hey v3 tamagotchi girl obotchi 1 year old 8 train point uncover tamagotchi days ago </s>
0,<s> nycgrl88 follow follow lol http </s>
0,<s> ashbashoneonly say someone else today want go la summer lol since 16 9yrs ago </s>
0,<s> uptake die </s>
0,<s> stephens85 head hurt della bad </s>
1,<s> ok back edit book tweet later </s>
1,<s> think awesome mishacollins vote oprah tweeterwall keep work </s>
0,<s> switch2008 know say </s>
1,<s> eat something pit bread </s>
1,<s> jeffmello good morning sir blip </s>
1,<s> omgosh tony orlando show awesome lot d23 love </s>
1,<s> comma63 find tomorrow </s>
1,<s> nice relax day dead tire goooodnight </s>
0,<s> manchester orchestra good live minus meet sweet beard singer </s>
1,<s> last minute revision chem exam basically say much fun </s>
1,<s> loyal contrast graduation karen </s>
1,<s> everything work bad today still feel positive though change attitude </s>
1,<s> fuck hat lalalala 8 suuuuch good weekend </s>
0,<s> gh mean </s>
1,<s> br exactly 25mins plzzzz w8 guy </s>
0,<s> bahamabob mosquitoes yet arrive soon </s>
0,<s> music4ever323 want water hurt stand </s>
1,<s> thc1972 long beach ca cousin know good place everything since pale comparison </s>
0,<s> redchinese19 yes dun wan na hard time man haha </s>
0,<s> whisenhunt haha job start get pay weekly excuse lol </s>
1,<s> sukebeuchujin wo get far without </s>
1,<s> amount always always </s>
1,<s> maths exam today hhh 2 hours painful maths im gon na die fail time need break miracle right </s>
0,<s> ca wake real hit snooker hour </s>
0,<s> g1 receive unexpected ota update ca tell update change still trust use latitude </s>
1,<s> cousins funny lol </s>
0,<s> emilystweet free need put update app stay open log </s>
1,<s> turn feel fine about </s>
1,<s> markrosenbauer ty yes strongly agree smile thing smile ca say donald trump smile often </s>
1,<s> students </s>
0,<s> demivenom cant msn work time friday fun </s>
0,<s> 00many00 dont like lady gaga sorry ash </s>
1,<s> goodnight everyone </s>
0,<s> nice910 dont u wan na middle </s>
1,<s> brianhahn amp watch watch never stop </s>
1,<s> untitled steal get khimjejung step one spell name songs believe ft island http </s>
1,<s> terilynns amaze could stuff like school thank between </s>
0,<s> sigh wait leeds train station lem go home </s>
1,<s> ask v get retard grass hopper drink taste like dust get v school end </s>
0,<s> anyone wan na come round amp watch stardust im feel lonely </s>
0,<s> damn hop see tomorrow lol </s>
0,<s> mobidextrous go back europe tomorrow friends need ridiculous china gift </s>
0,<s> allergies really mess eye last night today one red swell think look like drug </s>
1,<s> still completely crack adam pascal song backyardigans http </s>
1,<s> ilikebubbles oh yeah good point </s>
1,<s> morning twitter land r im good last class 2day next week class week brand new ones </s>
1,<s> finish ap study review </s>
0,<s> live sunshine little burn </s>
1,<s> natmcb78 lovely meet natalie happy make regular thing tweetdeck </s>
1,<s> morning switzerland ah feel better today hope u vin great day far watch house s5 later </s>
1,<s> people express feel differently online offline http </s>
0,<s> lilyginny27 hey lil erik exactly bring card tom miss whole thing </s>
0,<s> head va beach summer </s>
0,<s> bite disappoint weather today </s>
1,<s> download safari 4 beta mac nervous seem work great </s>
1,<s> discoballs </s>
1,<s> jofstar would truly great </s>
1,<s> humidity lucky cant wait rain </s>
0,<s> get catch xd even fix mom seat radio station fill gas tank use drive md </s>
1,<s> listen song quot shatter quot tunisia eli </s>
1,<s> http excite new moon </s>
0,<s> steam hey didnt get attachment time </s>
1,<s> get ready reinvent stay tune </s>
0,<s> physics revision today prom </s>
0,<s> awful run tonight heat get </s>
0,<s> westward3 ok first make laugh make sad dumb </s>
1,<s> mcdonalds drive yum </s>
0,<s> octostone alas nowhere near fair city </s>
0,<s> bright early day last full day key west fun really want go home http </s>
0,<s> overtake cheesecake brownish </s>
1,<s> finish work go sleep </s>
0,<s> marisolmercedes chicago tell come back harold chan </s>
